dataset_name,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,eval_samples,model_name,problem_type,problem_description,batch_size,label,eval_precision,eval_recall,eval_f1,eval_exact_match
germeval17,1.1866761445999146,0.6551052331924438,10.7325,239.088,29.909,1.0,2566,BERT-GERMAN (110M),classification,single_label_classification,2,sentiment,,,,
germeval18,0.35700035095214844,0.9067098498344421,24.8055,136.986,17.133,1.0,3398,GPT2-WECHSEL-GERMAN (117M),classification,single_label_classification,2,multi,,,,
gnad10,0.5409115552902222,0.8793774247169495,4.3411,236.806,29.716,1.0,1028,GPT2-WECHSEL-GERMAN (117M),classification,single_label_classification,2,label,,,,
germeval18,0.35625243186950684,0.8952324986457825,13.5999,249.854,31.25,1.0,3398,BERT-GERMAN (110M),classification,single_label_classification,2,multi,,,,
germeval17,0.6496293544769287,0.7724084258079529,132.346,19.389,2.425,1.0,2566,BLOOM-CLP-GERMAN (1.5B),classification,single_label_classification,4,sentiment,,,,
german-ler,0.01868031919002533,0.9952939078863406,33.4976,199.0,24.897,1.0,6666,BERT-GERMAN (110M),token_classification,,16,,0.921307037896365,0.9450614835382785,0.9330330918347367,
germeval18,0.3572913408279419,0.8864037394523621,192.5327,17.649,2.207,1.0,3398,BLOOM-CLP-GERMAN (1.5B),classification,single_label_classification,4,multi,,,,
german-quad,,,15.6752,242.612,30.366,1.0,3803,BERT-GERMAN (110M),question_answering,,64,,,,59.36371998958213,39.6551724137931
german-ler,0.04916854202747345,0.9865087292320245,71.7805,92.866,11.619,1.0,6666,BLOOM-CLP-GERMAN (1.5B),token_classification,,2,,0.7258434905493729,0.8149543831812772,0.7678221059516024,
german-europarl,0.09237203001976013,0.9739292364990689,1.141,149.865,19.281,1.0,171,BLOOM-CLP-GERMAN (1.5B),token_classification,,2,,0.9310544611819235,0.935934769947583,0.933488237002614,
gnad10,0.44243910908699036,0.9036964774131775,53.1273,19.35,2.428,1.0,1028,GPT2-XL-WECHSEL-GERMAN (1.5B),classification,single_label_classification,4,label,,,,
germeval17,0.726986825466156,0.8043647408485413,18.0062,142.506,17.827,1.0,2566,GPT2-WECHSEL-GERMAN (117M),classification,single_label_classification,2,sentiment,,,,
germeval17,0.6496293544769287,0.7624084258079529,53.1273,19.35,2.428,1.0,1028,GPT2-XL-WECHSEL-GERMAN (1.5B),classification,single_label_classification,4,label,,,,
german-europarl,0.23924008011817932,0.9210893854748603,0.8055,212.282,27.311,1.0,171,BERT-GERMAN (110M),token_classification,,16,,0.8440656565656566,0.778683750728014,0.8100575583156618,
german-ler,0.01881234347820282,0.9949607747456928,35.675,186.854,23.378,1.0,6666,BERT-GERMAN (110M),token_classification,,16,,0.9194980694980694,0.9446648155493852,0.9319115632948543,
german-ler,0.055698227137327194,0.9844923071151565,36.5816,182.223,22.798,1.0,6666,GPT2-WECHSEL-GERMAN (117M),token_classification,,16,,0.6709254143646409,0.7707259024196748,0.7173712386930036,
german-europarl,0.2517411410808563,0.9134078212290503,2.4372,70.162,9.027,1.0,171,GPT2-XL-WECHSEL-GERMAN (1.5B),token_classification,,16,,0.8017543859649123,0.7984857309260338,0.8001167201634083,
germeval18,0.006885484326630831,0.9997057318687439,53.1273,19.35,2.428,1.0,1028,GPT2-XL-WECHSEL-GERMAN (1.5B),classification,single_label_classification,4,label,,,,
gnad10,0.4325055181980133,0.8949416279792786,53.1273,19.35,2.428,1.0,1028,BLOOM-CLP-GERMAN (1.5B),classification,single_label_classification,4,label,,,,
german-ler,0.0423356369137764,0.9882484794770433,76.1266,87.565,10.955,1.0,6666,GPT2-XL-WECHSEL-GERMAN (1.5B),token_classification,,2,,0.7412944073162153,0.835977786592622,0.7857941834451903,
german-europarl,0.5071091651916504,0.8379888268156425,0.78,219.233,28.205,1.0,171,GPT2-WECHSEL-GERMAN (117M),token_classification,,16,,0.5915655690352397,0.5963890506697729,0.5939675174013921,
gnad10,0.42594459652900696,0.911478579044342,53.1273,19.35,2.428,1.0,1028,BERT-GERMAN (110M),classification,single_label_classification,4,label,,,,
